entry1	entry2	type
00052_78	00052_82	ECrel
00052_78	00052_79	ECrel
00052_72	00052_76	ECrel
00052_71	00052_76	ECrel
00052_70	00052_76	ECrel
00052_69	00052_76	ECrel
00052_68	00052_76	ECrel
00052_71	00052_75	ECrel
00052_70	00052_75	ECrel
00052_69	00052_75	ECrel
00052_68	00052_75	ECrel
00052_68	00052_72	ECrel
00052_68	00052_71	ECrel
00052_68	00052_70	ECrel
00052_68	00052_69	ECrel
00052_79	00052_90	maplink
00052_80	00052_90	maplink
00052_82	00052_90	maplink
00052_99	00052_89	maplink
00052_74	00052_89	maplink
00052_73	00052_89	maplink
00052_75	00052_89	maplink
00052_76	00052_89	maplink
00052_76	00052_78	ECrel
00052_75	00052_78	ECrel
00052_65	00052_64	ECrel
00052_74	00052_77	ECrel
00052_74	00052_88	maplink
00052_73	00052_77	ECrel
00052_73	00052_88	maplink
00052_99	00052_77	ECrel
00052_99	00052_88	maplink
00052_77	00052_88	maplink
00052_65	00052_55	ECrel
00052_65	00052_156	ECrel
00052_55	00052_64	ECrel
00052_55	00052_156	ECrel
00052_82	00052_171	ECrel
00052_172	00052_112	maplink
00052_172	00052_171	ECrel
00052_112	00052_171	maplink
00052_172	00052_76	ECrel
00052_172	00052_75	ECrel
00052_172	00052_72	ECrel
00052_172	00052_71	ECrel
00052_172	00052_70	ECrel
00052_172	00052_69	ECrel
00052_172	00052_68	ECrel
00052_111	00052_64	ECrel
00052_111	00052_156	ECrel
00053_89	00053_107	maplink
00053_109	00053_162	maplink
00053_163	00053_62	maplink
00061_162	00061_163	ECrel
00061_162	00061_163	ECrel
00061_161	00061_163	ECrel
00061_158	00061_163	ECrel
00061_156	00061_163	ECrel
00061_66	00061_147	ECrel
00061_66	00061_158	ECrel
00061_65	00061_158	ECrel
00061_64	00061_158	ECrel
00061_63	00061_158	ECrel
00061_62	00061_158	ECrel
00061_61	00061_158	ECrel
00061_52	00061_158	ECrel
00061_155	00061_156	ECrel
00061_143	00061_156	ECrel
00061_66	00061_156	ECrel
00061_132	00061_156	ECrel
00061_65	00061_156	ECrel
00061_120	00061_156	ECrel
00061_64	00061_156	ECrel
00061_108	00061_156	ECrel
00061_63	00061_156	ECrel
00061_96	00061_156	ECrel
00061_62	00061_156	ECrel
00061_84	00061_156	ECrel
00061_61	00061_156	ECrel
00061_52	00061_156	ECrel
00061_66	00061_155	ECrel
00061_65	00061_155	ECrel
00061_64	00061_155	ECrel
00061_63	00061_155	ECrel
00061_62	00061_155	ECrel
00061_61	00061_155	ECrel
00061_52	00061_155	ECrel
00061_65	00061_143	ECrel
00061_64	00061_143	ECrel
00061_63	00061_143	ECrel
00061_62	00061_143	ECrel
00061_61	00061_143	ECrel
00061_52	00061_143	ECrel
